X;Y;SECONDARY
0.500;3.5;3.07
0.500;12.5;16.76
2.500;14.5;5.67
5.500;21.5;1.49
4.500;26.5;0.27
0.500;33.5;1.02
0.500;38.5;0.88
5.500;48.5;4.41
9.500;3.5;0.33
7.500;11.5;2.23
10.500;18.5;0.29
6.500;21.5;0.88
8.500;29.5;4.38
10.500;35.5;3.21
9.500;37.5;1.04
9.500;44.5;0.52
12.500;2.5;0.23
14.500;10.5;0.46
15.500;14.5;2.88
11.500;19.5;0.2
12.500;29.5;4.57
15.500;33.5;4.88
12.500;40.5;1.14
13.500;49.5;0.82
19.500;5.5;0.21
21.500;12.5;1.64
17.500;13.5;2.62
21.500;22.5;0.83
19.500;25.5;0.91
20.500;34.5;3.04
20.500;40.5;1.76
17.500;44.5;1.89
24.500;2.5;0.71
26.500;10.5;1.12
26.500;17.5;0.18
23.500;21.5;0.74
23.500;30.5;3.33
25.500;31.5;4.57
27.500;42.5;6.18
27.500;48.5;3.18
32.500;3.5;1.48
28.500;9.5;1.38
29.500;15.5;0.24
30.500;23.5;1.25
29.500;26.5;1.08
29.500;32.5;1.64
29.500;37.5;5.33
30.500;48.5;13.68
35.500;1.5;0.72
36.500;11.5;0.54
36.500;13.5;0.5
36.500;23.5;0.3
34.500;26.5;1.44
33.500;35.5;3.09
33.500;42.5;4.94
33.500;44.5;6.33
42.500;2.5;0.78
43.500;10.5;1.8
43.500;17.5;0.73
41.500;20.5;0.62
43.500;27.5;1.97
43.500;31.5;3.67
42.500;37.5;0.67
42.500;44.5;1.56
47.500;5.5;2.45
48.500;12.5;8.38
46.500;16.5;1.95
48.500;23.5;1.27
48.500;30.5;3.6
49.500;35.5;3.21
47.500;39.5;0.7
45.500;45.5;4.51